"Name","Title","Description","Version","m.Date","m.Time","Author","Citation"
"convert_binx2xlum","Convert Risø BIN/BINX to XLUM","Convert Risø BIN/BINX to XLUM","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br />","Kreutzer, S., 2022. convert_binx2xlum(): Convert Risø BIN/BINX to XLUM. Function version 0.1.0. In: Kreutzer, S., 2022. xlum: Read, Write, and Convert XLUM Data. R package version 0.1.0.9000-76. 
"
"convert_Daybreak2xlum","Convert Daybreak TXT and DAT files to XLUM","Convert Daybreak TXT and DAT files to XLUM","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br />","Kreutzer, S., 2022. convert_Daybreak2xlum(): Convert Daybreak TXT and DAT files to XLUM. Function version 0.1.0. In: Kreutzer, S., 2022. xlum: Read, Write, and Convert XLUM Data. R package version 0.1.0.9000-76. 
"
"convert_psl2xlum","Convert SUERC PSL-files to XLUM","Convert SUERC PSL-files to XLUM","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br />","Kreutzer, S., 2022. convert_psl2xlum(): Convert SUERC PSL-files to XLUM. Function version 0.1.0. In: Kreutzer, S., 2022. xlum: Read, Write, and Convert XLUM Data. R package version 0.1.0.9000-76. 
"
"convert_rlum2xlum","Convert RLum-class objects to the XLUM format","Converts  Luminescence::RLum  objects to xlum format","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br />","Kreutzer, S., 2022. convert_rlum2xlum(): Convert RLum-class objects to the XLUM format. Function version 0.1.0. In: Kreutzer, S., 2022. xlum: Read, Write, and Convert XLUM Data. R package version 0.1.0.9000-76. 
"
"convert_xsyg2xlum","Convert Freiberg Instruments XSYG files to XLUM","Convert Freiberg Instruments XSYG files to XLUM","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br />","Kreutzer, S., 2022. convert_xsyg2xlum(): Convert Freiberg Instruments XSYG files to XLUM. Function version 0.1.0. In: Kreutzer, S., 2022. xlum: Read, Write, and Convert XLUM Data. R package version 0.1.0.9000-76. 
"
"read_xlum","Import XLUM files","Imports XLUM-files using  xml2::read_xml . Comes with a few convenience features, such as the transformation of string lists to numeric vectors where meaningful.","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br />","Kreutzer, S., 2022. read_xlum(): Import XLUM files. Function version 0.1.0. In: Kreutzer, S., 2022. xlum: Read, Write, and Convert XLUM Data. R package version 0.1.0.9000-76. 
"
"validate_xlum","Validate xlum format against an XSD reference schema","A a convenience wrapper around  xml2::xml_validate  against the reference format description shipped with  xlum-package",NA,NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University<br />","Kreutzer, S., 2022. validate_xlum(): Validate xlum format against an XSD reference schema. In: Kreutzer, S., 2022. xlum: Read, Write, and Convert XLUM Data. R package version 0.1.0.9000-76. 
"
"write_xlum","Write XLUM-files","Create XLUM-files using  xml2::read_xml","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (united Kingdom)<br />","Kreutzer, S., 2022. write_xlum(): Write XLUM-files. Function version 0.1.0. In: Kreutzer, S., 2022. xlum: Read, Write, and Convert XLUM Data. R package version 0.1.0.9000-76. 
"
