"Name","Title","Description","Version","m.Date","m.Time","Author","Citation"
"convert_rlum2xlum","Convert RLum-class objects to the XLUM format","Converts  Luminescence::RLum  objects to xlum format","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br />","Kreutzer, S., 2022. convert_rlum2xlum(): Convert RLum-class objects to the XLUM format. Function version 0.1.0. In: Kreutzer, S., 2022. xlum: Read, Write, and Convert xlum Data. R package version 0.1.0.9000-45. 
"
"read_xlum","Import xlum files","Imports xlum files using  xml2::read_xml . Comes with a few convenience features, such as the transformation of string lists to numeric vectors where meaningful.","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (United Kingdom)<br />","Kreutzer, S., 2022. read_xlum(): Import xlum files. Function version 0.1.0. In: Kreutzer, S., 2022. xlum: Read, Write, and Convert xlum Data. R package version 0.1.0.9000-45. 
"
"validate_xlum","Validate xlum format against an XSD reference schema","A a convenience wrapper around  xml2::xml_validate  against the reference format description shipped with  xlum-package",NA,NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University<br />","Kreutzer, S., 2022. validate_xlum(): Validate xlum format against an XSD reference schema. In: Kreutzer, S., 2022. xlum: Read, Write, and Convert xlum Data. R package version 0.1.0.9000-45. 
"
"write_xlum","Write xlum files","Create xlum files using  xml2::read_xml","0.1.0
",NA,NA,"Sebastian Kreutzer, Geography & Earth Sciences, Aberystwyth University (united Kingdom)<br />","Kreutzer, S., 2022. write_xlum(): Write xlum files. Function version 0.1.0. In: Kreutzer, S., 2022. xlum: Read, Write, and Convert xlum Data. R package version 0.1.0.9000-45. 
"
